set,split,MAE,RMSE,R2
train,0,1.635997048611111,2.0669136312778833,0.0
val,0,1.3363162202380952,1.8548443859581354,-0.21771169060272677
test,0,1.9748151785714287,2.467974411772148,-0.21662425671835095
train,1,1.64389013671875,2.07920623122609,0.0
val,1,1.9566272321428573,2.4244459796004607,-0.2985834985472795
test,1,1.5968641183035714,2.1069108336913165,-0.2029925662523322
train,2,1.6657397829861111,2.113269658408341,0.0
val,2,1.635137648809524,2.013273796326693,-0.14410750647702675
test,2,1.5786694196428572,2.004632467082891,-0.1141099693257499
train,3,1.6701844444444442,2.1188168020278573,0.0
val,3,1.3005690476190477,1.8283877841438203,-0.42664778558073846
test,3,1.7019410714285714,2.0563571509014413,-0.15356635978911903
train,4,1.6613658072916666,2.109942280012095,0.0
val,4,1.4883196428571428,1.790693037854599,-0.14457592005128483
test,4,1.6810845982142857,2.1621658701444164,-0.3867793887922708
